date,temp_class,stp_class,hmdy_class,prcp_class,wdct_class,wdsp_class,state
2020-01-01,<25,<980,>75,<0.1,W,<5,Haze
2020-01-02,<25,<980,>75,<0.1,S,<5,Haze
2020-01-03,<25,<980,>75,<0.1,S,<5,Haze
2020-01-04,<25,<980,>75,<0.1,S,<5,Haze
2020-01-05,<25,<980,>75,0.1 to 1,W,<5,Rain
2020-01-06,<25,<980,>75,<0.1,W,<5,Haze
2020-01-07,<25,<980,50 to 75,<0.1,W,<5,Clear
2020-01-08,<25,<980,50 to 75,<0.1,W,<5,Clear
2020-01-09,<25,<980,50 to 75,<0.1,W,<5,Clear
2020-01-10,<25,<980,50 to 75,<0.1,W,<5,Clear
2020-01-11,25 to 30,<980,>75,<0.1,W,<5,Haze
2020-01-12,25 to 30,<980,50 to 75,<0.1,W,<5,Clear
2020-01-13,25 to 30,<980,>75,<0.1,W,<5,Haze
2020-01-14,25 to 30,<980,>75,<0.1,E,<5,Haze
2020-01-15,25 to 30,<980,>75,<0.1,E,<5,Haze
2020-01-16,25 to 30,<980,>75,<0.1,E,<5,Haze
2020-01-17,25 to 30,980 to 990,>75,0.1 to 1,E,<5,Rain
2020-01-18,25 to 30,980 to 990,>75,<0.1,E,<5,Haze
2020-01-19,25 to 30,980 to 990,>75,<0.1,E,<5,Haze
2020-01-20,25 to 30,980 to 990,>75,<0.1,N,<5,Haze
2020-01-21,25 to 30,980 to 990,>75,<0.1,E,<5,Haze
2020-01-22,25 to 30,980 to 990,>75,0.1 to 1,E,<5,Rain
2020-01-23,25 to 30,980 to 990,>75,1 to 10,E,<5,Rain
2020-01-24,25 to 30,980 to 990,>75,<0.1,E,<5,Haze
2020-01-25,25 to 30,980 to 990,>75,<0.1,E,<5,Haze
2020-01-26,25 to 30,980 to 990,>75,<0.1,E,<5,Haze
2020-01-27,25 to 30,980 to 990,>75,0.1 to 1,E,<5,Rain
2020-01-28,25 to 30,980 to 990,50 to 75,<0.1,S,<5,Clear
2020-01-29,25 to 30,980 to 990,25 to 50,<0.1,S,<5,Clear
2020-01-30,<25,980 to 990,25 to 50,<0.1,S,<5,Clear
2020-01-31,<25,980 to 990,50 to 75,<0.1,S,<5,Clear
2020-02-01,<25,980 to 990,>75,<0.1,E,<5,Haze
2020-02-02,<25,980 to 990,>75,<0.1,E,<5,Haze
2020-02-03,<25,990 to 1000,>75,<0.1,E,<5,Haze
2020-02-04,<25,990 to 1000,>75,<0.1,E,<5,Haze
2020-02-05,<25,990 to 1000,50 to 75,<0.1,E,<5,Clear
2020-02-06,<25,990 to 1000,50 to 75,<0.1,E,<5,Clear
2020-02-07,<25,990 to 1000,50 to 75,<0.1,S,<5,Clear
2020-02-08,<25,990 to 1000,50 to 75,<0.1,S,<5,Clear
2020-02-09,<25,990 to 1000,>75,<0.1,E,<5,Haze
2020-02-10,<25,990 to 1000,50 to 75,<0.1,E,<5,Clear
2020-02-11,<25,990 to 1000,50 to 75,<0.1,E,<5,Clear
2020-02-12,<25,990 to 1000,50 to 75,0.1 to 1,E,<5,Rain
2020-02-13,<25,990 to 1000,50 to 75,<0.1,E,<5,Clear
2020-02-14,25 to 30,990 to 1000,50 to 75,<0.1,S,<5,Clear
2020-02-15,25 to 30,990 to 1000,50 to 75,<0.1,S,<5,Clear
2020-02-16,25 to 30,990 to 1000,50 to 75,<0.1,S,<5,Clear
2020-02-17,25 to 30,990 to 1000,50 to 75,0.1 to 1,S,<5,Rain
2020-02-18,25 to 30,990 to 1000,50 to 75,<0.1,E,<5,Clear
2020-02-19,25 to 30,990 to 1000,50 to 75,<0.1,E,<5,Clear
2020-02-20,25 to 30,990 to 1000,50 to 75,<0.1,N,<5,Clear
2020-02-21,25 to 30,990 to 1000,>75,<0.1,E,<5,Haze
2020-02-22,<25,990 to 1000,>75,<0.1,E,<5,Haze
2020-02-23,<25,990 to 1000,>75,<0.1,E,<5,Haze
2020-02-24,<25,990 to 1000,>75,0.1 to 1,E,<5,Rain
2020-02-25,<25,990 to 1000,>75,<0.1,E,<5,Haze
2020-02-26,<25,990 to 1000,>75,<0.1,E,<5,Haze
2020-02-27,<25,990 to 1000,>75,0.1 to 1,S,<5,Rain
2020-02-28,<25,990 to 1000,>75,<0.1,S,<5,Haze
2020-02-29,<25,990 to 1000,>75,<0.1,W,<5,Haze
2020-03-01,<25,990 to 1000,>75,0.1 to 1,W,<5,Rain
2020-03-02,<25,990 to 1000,>75,0.1 to 1,W,<5,Rain
2020-03-03,<25,990 to 1000,>75,<0.1,W,<5,Haze
2020-03-04,<25,990 to 1000,50 to 75,<0.1,S,<5,Clear
2020-03-05,<25,>1000,50 to 75,<0.1,S,<5,Clear
2020-03-06,<25,>1000,50 to 75,<0.1,S,<5,Clear
2020-03-07,<25,>1000,50 to 75,<0.1,E,<5,Clear
2020-03-08,<25,>1000,25 to 50,<0.1,E,<5,Clear
2020-03-09,<25,>1000,25 to 50,<0.1,E,<5,Clear
2020-03-10,<25,>1000,50 to 75,<0.1,S,<5,Clear
2020-03-11,<25,>1000,>75,<0.1,S,<5,Haze
2020-03-12,<25,>1000,50 to 75,<0.1,S,<5,Clear
2020-03-13,<25,>1000,50 to 75,<0.1,S,<5,Clear
2020-03-14,<25,>1000,50 to 75,<0.1,E,<5,Clear
2020-03-15,<25,>1000,>75,<0.1,S,<5,Haze
2020-03-16,<25,>1000,50 to 75,<0.1,S,<5,Clear
2020-03-17,<25,>1000,50 to 75,<0.1,S,<5,Clear
2020-03-18,25 to 30,>1000,50 to 75,<0.1,S,<5,Clear
2020-03-19,25 to 30,>1000,50 to 75,<0.1,E,<5,Clear
2020-03-20,25 to 30,>1000,50 to 75,<0.1,E,<5,Clear
2020-03-21,25 to 30,>1000,50 to 75,<0.1,E,<5,Clear
2020-03-22,<25,>1000,50 to 75,<0.1,E,<5,Clear
2020-03-23,<25,>1000,50 to 75,<0.1,E,<5,Clear
2020-03-24,<25,>1000,50 to 75,<0.1,N,<5,Clear
2020-03-25,<25,>1000,50 to 75,<0.1,E,<5,Clear
2020-03-26,<25,>1000,50 to 75,<0.1,E,<5,Clear
2020-03-27,<25,>1000,50 to 75,<0.1,E,<5,Clear
2020-03-28,<25,>1000,>75,<0.1,E,<5,Haze
2020-03-29,<25,>1000,>75,1 to 10,E,<5,Rain
2020-03-30,<25,>1000,>75,0.1 to 1,E,<5,Rain
2020-03-31,<25,>1000,>75,<0.1,E,<5,Haze
2020-04-01,<25,>1000,>75,<0.1,E,<5,Haze
2020-04-02,<25,>1000,>75,<0.1,E,<5,Haze
2020-04-03,<25,>1000,>75,<0.1,N,<5,Haze
2020-04-04,<25,>1000,>75,<0.1,N,<5,Haze
2020-04-05,<25,>1000,50 to 75,<0.1,N,<5,Clear
2020-04-06,<25,>1000,50 to 75,<0.1,N,<5,Clear
2020-04-07,<25,>1000,50 to 75,<0.1,N,<5,Clear
2020-04-08,<25,>1000,50 to 75,<0.1,E,<5,Clear
2020-04-09,<25,>1000,25 to 50,0.1 to 1,E,<5,Rain
2020-04-10,<25,>1000,25 to 50,0.1 to 1,E,<5,Rain
2020-04-11,<25,>1000,25 to 50,0.1 to 1,E,<5,Rain
2020-04-12,<25,>1000,25 to 50,0.1 to 1,E,<5,Rain
2020-04-13,<25,>1000,50 to 75,0.1 to 1,E,<5,Rain
2020-04-14,<25,>1000,>75,0.1 to 1,E,<5,Rain
2020-04-15,<25,>1000,>75,1 to 10,E,<5,Rain
2020-04-16,<25,>1000,>75,0.1 to 1,E,<5,Rain
2020-04-17,<25,>1000,>75,0.1 to 1,E,<5,Rain
2020-04-18,<25,>1000,>75,0.1 to 1,E,<5,Rain
2020-04-19,<25,>1000,>75,<0.1,E,<5,Haze
2020-04-20,<25,>1000,>75,0.1 to 1,E,<5,Rain
2020-04-21,25 to 30,>1000,>75,<0.1,E,<5,Haze
2020-04-22,25 to 30,>1000,>75,1 to 10,E,<5,Rain
2020-04-23,25 to 30,>1000,>75,1 to 10,N,<5,Rain
2020-04-24,25 to 30,>1000,>75,0.1 to 1,N,<5,Rain
2020-04-25,25 to 30,>1000,>75,<0.1,E,<5,Haze
2020-04-26,<25,>1000,>75,0.1 to 1,S,<5,Rain
2020-04-27,<25,>1000,>75,<0.1,S,<5,Haze
2020-04-28,<25,>1000,50 to 75,<0.1,S,<5,Clear
2020-04-29,<25,>1000,50 to 75,<0.1,S,<5,Clear
2020-04-30,<25,>1000,50 to 75,<0.1,S,<5,Clear
2020-05-01,25 to 30,>1000,50 to 75,<0.1,S,<5,Clear
2020-05-02,25 to 30,>1000,>75,<0.1,S,<5,Haze
2020-05-03,25 to 30,>1000,>75,<0.1,S,<5,Haze
2020-05-04,25 to 30,>1000,>75,0.1 to 1,S,<5,Rain
2020-05-05,25 to 30,>1000,>75,<0.1,E,<5,Haze
2020-05-06,25 to 30,>1000,50 to 75,<0.1,E,<5,Clear
2020-05-07,25 to 30,>1000,50 to 75,<0.1,S,<5,Clear
2020-05-08,<25,990 to 1000,50 to 75,<0.1,S,<5,Clear
2020-05-09,<25,990 to 1000,>75,<0.1,S,<5,Haze
2020-05-10,<25,990 to 1000,>75,0.1 to 1,E,<5,Rain
